SKU,Product Name,Sell As,Product Unit,Net Weight / Content,Measurement Unit,Reorder Level,Reorder Quantity,HSN/SAC,Quantity (latest batch),Barcode,MRP (latest batch),Selling Price (latest batch),Cost Price (latest batch),Brand,Product Type,Display Categories,Actual Weight,Length,Width,Height,Price per unit(Enquiry),Min Order Quantity(Enquiry),Max Supply Capacity,Max Supply Capacity Period,Tax Name (Outside Karnataka) ,Tax Rate (Outside Karnataka) ,Tax Name (Within Karnataka) ,Tax Rate (Within Karnataka) 
CA-100G,SLCHEM® 100% Pure Citric Acid Mono Crystals Food Grade 100g,Packed Product,Unit,,,20,0,29181400,100,,99,59,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
CA-250G,SLCHEM® 100% Pure Citric Acid Mono Crystals Food Grade 250g,Packed Product,Unit,,,20,0,29181400,100,,129,89,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
CA-400G,SLCHEM® 100% Pure Citric Acid Mono Crystals Food Grade 400g,Packed Product,Unit,,,20,0,29181400,100,,249,189,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
CA-800G,SLCHEM® 100% Pure Citric Acid Mono Crystals Food Grade 800g,Packed Product,Unit,,,20,0,29181400,100,,349,239,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
CA-1.2KG,SLCHEM® 100% Pure Citric Acid Mono Crystals Food Grade 1.2Kg,Packed Product,Unit,,,20,0,29181400,100,,399,289,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
CA-1.6KG,SLCHEM® 100% Pure Citric Acid Mono Crystals Food Grade 1.6Kg,Packed Product,Unit,,,20,0,29181400,100,,449,349,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
CA-2KG,SLCHEM® 100% Pure Citric Acid Mono Crystals Food Grade 2Kg,Packed Product,Unit,,,20,0,29181400,100,,499,399,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
CA-5KG,SLCHEM® 100% Pure Citric Acid Mono Crystals Food Grade 5Kg,Packed Product,Unit,,,20,0,29181400,100,,799,659,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SB-100G,SLCHEM® 100% Pure Food Grade - Sodium Benzoate 100g,Packed Product,Unit,,,20,0,29163140,100,,99,59,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SB-250G,SLCHEM® 100% Pure Food Grade - Sodium Benzoate 250g,Packed Product,Unit,,,20,0,29163140,100,,129,85,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SB-400G,SLCHEM® 100% Pure Food Grade - Sodium Benzoate 400g,Packed Product,Unit,,,20,0,29163140,100,,199,149,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SB-800G,SLCHEM® 100% Pure Food Grade - Sodium Benzoate 800g,Packed Product,Unit,,,20,0,29163140,100,,249,199,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SB-1.2KG,SLCHEM® 100% Pure Food Grade - Sodium Benzoate 1.2Kg,Packed Product,Unit,,,20,0,29163140,100,,299,249,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SB-1.6KG,SLCHEM® 100% Pure Food Grade - Sodium Benzoate 1.6Kg,Packed Product,Unit,,,20,0,29163140,100,,379,299,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
SB-2KG,SLCHEM® 100% Pure Food Grade - Sodium Benzoate 2Kg,Packed Product,Unit,,,20,0,29163140,100,,449,399,0,,Cooking & Baking Ingredients,"Cooking & Baking Ingredients,All Products",,,,,,,,,IGST,18,CGST + SGST,18
